ACCESS_SCR,BRKS_FVYRS_SCR,BRK_SCR,DIA_SCR,ENVMT_SCR,HEAD_LOSS_SCR,MI_SCR,QUALIT_SCR,RSL_SCR,STANDARD_CONFOR,out=1.0,out=2.0,out=3.0,out=4.0
0.0,10.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.013913912822137756,1.0023201321686449e-05,4.360273887717919e-06,0.0
15.0,10.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.008292778658814236,1.9053047840135318e-05,8.846033569987244e-07,0.0
0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.334651276812679e-06,4.3915250264467006e-08,0.0
15.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.3863356987941504e-05,8.858926675644783e-09,0.0
0.0,15.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,1.2655785098817197e-10,0.0
15.0,15.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2.5530402219213384e-11,0.0
0.0,15.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,2.801940877091513e-06,6.150693946561995e-08,0.0
15.0,15.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,5.296020552657284e-06,1.2407709613068457e-08,0.0
0.0,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,1.77386784899687e-05,4.5101661311534526e-07,0.0
15.0,15.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,3.352789732501075e-05,9.098177461651828e-08,0.0
0.0,15.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,1.2997833329481786e-09,0.0
15.0,15.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2.6220413083797256e-10,0.0
0.0,15.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,6.776469385594659e-06,6.316900209388427e-07,0.0
15.0,15.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,1.2808339677007365e-05,1.274295591999724e-07,0.0
0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.686979118611461,0.0001709511831876932,2.088311682008426e-06,0.0
15.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5652188974440083,0.00044859296300324273,5.848607437769008e-07,0.0
0.0,5.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.00016316369032645303,0.0,1.9233654236449414e-08,0.0
15.0,5.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,9.670233072116031e-05,0.0,3.8802458572531105e-09,0.0
0.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.22720536121473117,0.00016128199140107567,7.223344744251648e-06,0.0
15.0,5.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.14836023785470792,0.00033588609995045674,1.605540650433311e-06,0.0
0.0,5.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.8475989226417255,0.0002011269063281262,1.043346985777571e-05,0.0
15.0,5.0,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.7670252215291969,0.0005804925237258824,3.213897572929e-06,0.0
0.0,5.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.00041372320292074624,0.0,1.974852897686331e-07,0.0
15.0,5.0,0.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.00024522666727880857,0.0,3.9845252794122635e-08,0.0
0.0,5.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.427062162377318,0.0002890743780438174,5.497907777926399e-05,0.0
15.0,5.0,0.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.3063152093826861,0.0006612935319861699,1.3423288810771083e-05,0.0
0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.046357862790371546,1.4649307047438302e-05,5.604538917155218e-07,0.0
15.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.02800156799699535,2.8221704211358524e-05,1.1523458756293088e-07,0.0
0.0,0.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,3.6126621740979885e-06,0.0,1.6936760216521609e-09,0.0
15.0,0.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,2.140979651450468e-06,0.0,3.4166425404988863e-10,0.0
0.0,0.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.006467891251829505,5.83035653229483e-06,8.178001370800156e-07,0.0
15.0,0.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.003843183120250521,1.1049196333492885e-05,1.6540916343945676e-07,0.0
0.0,0.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.10975649782480532,3.3073116442018306e-05,5.373203791752329e-06,0.0
15.0,0.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.06808771275642155,6.543661612895093e-05,1.1346341068774192e-06,0.0
0.0,0.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,9.162631467619257e-06,0.0,1.739441368018814e-08,0.0
15.0,0.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,5.43008207752662e-06,0.0,3.5089726782353207e-09,0.0
0.0,0.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.016242659620080993,1.3961778705681406e-05,8.316262731753426e-06,0.0
15.0,0.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.009689967679083686,2.656520329522983e-05,1.6887968243179444e-06,0.0
0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.2865025634473133e-05,3.2964213041106656e-08,6.103649405788098e-09,0.0
15.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.35506545940692e-05,6.23072384946208e-08,1.2312951805669156e-09,0.0
0.0,10.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.6992827965142723e-09,0.0,1.7590170596735912e-11,0.0
15.0,10.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.007048087404505e-09,0.0,3.548449402424093e-12,0.0
0.0,10.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,3.0620981633634704e-06,1.2592989938180616e-08,8.548796566618531e-09,0.0
15.0,10.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,1.814697315880639e-06,2.3802422114311695e-08,1.7245432377687499e-09,0.0
0.0,10.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,5.7989808815448146e-05,7.972121325654233e-08,6.268392066733343e-08,0.0
15.0,10.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,3.436738399746644e-05,1.5068704158198598e-07,1.2645469778505508e-08,0.0
0.0,10.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,4.309837977629502e-09,0.0,1.8065580562756839e-10,0.0
15.0,10.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,2.554144670021229e-09,0.0,3.6443534345693994e-11,0.0
0.0,10.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,7.766266836787068e-06,3.0456027674254866e-08,8.779802967840034e-08,0.0
15.0,10.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,4.602547177292037e-06,5.756604696150234e-08,1.7711474886328392e-08,0.0
0.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.1976644880409117e-08,8.719698668690949e-10,0.0
15.0,15.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.153872277985935e-08,1.7590169893168637e-10,0.0
0.0,15.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2.5128815181273995e-12,0.0
15.0,15.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,5.069213437154778e-13,0.0
0.0,15.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,8.39535242960514e-09,1.2212604060685966e-09,0.0
15.0,15.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.5868310355078957e-08,2.4636376907577524e-10,0.0
0.0,15.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,5.315056196342786e-08,8.955365848713568e-09,0.0
15.0,15.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0046148645478678e-07,1.8065578796348617e-09,0.0
0.0,15.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2.5807972347734252e-11,0.0
15.0,15.0,10.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,5.206219205702064e-12,0.0
0.0,15.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,2.030417787129481e-08,1.2542674149335175e-08,0.0
15.0,15.0,10.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,3.837754259448598e-08,2.5302224304786276e-09,0.0
0.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.001207146505596774,1.6352807740949701e-06,1.323791940067351e-07,0.0
15.0,5.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0007157437452280403,3.092410357999872e-06,2.671783907362933e-08,0.0
0.0,5.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,8.981922558244712e-08,0.0,3.819579563032618e-10,0.0
15.0,5.0,10.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,5.322968183624551e-08,0.0,7.70520401373989e-11,0.0
0.0,5.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.00016182793530217874,6.253520389155205e-07,1.8560139259311824e-07,0.0
15.0,5.0,10.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,9.591057507407692e-05,1.1820743143627618e-06,3.7443656243866566e-08,0.0
0.0,5.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0030559699150034124,3.947595330940982e-06,1.357048638572105e-06,0.0
15.0,5.0,10.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0018133162707607946,7.470751990129913e-06,2.740967681839953e-07,0.0
