condition_model,PCSDesc,criticality_model,CRITICAL_SCR
0,0.25,0,0.5393499756
0,0.25,0,0.5393499756
0,0.25,0,0.5393499756
0,0.25,0,0.5393499756
0,0.25,0,0.5393499756
0,0.25,0,0.5393499756
0,0.25,0,0.5393499756
0,0.25,0,0.5393499756
0,0.25,0,0.5393499756
0,0.25,0,0.6302000122
0,0.25,0,0.6302000122
0,0.25,0,0.5501999512
0,0.25,0,0.6302000122
0,0.25,0,0.4724999695
0,0.25,0,0.6302000122
0,0.25,0,0.4835500183
0,0.25,0,0.46980001829999996
0,0.25,0,0.45810000609999996
0,0.25,0,0.46980001829999996
0,0.3,0,0.6589000244000001
0,0.25,0,0.449
0,0.3,0,0.6108000488
