FID,MITIGATION_Level_PAN,mitigation_model_pred
1448,2.0,2.0
3165,2.0,1.0
2084,2.0,2.0
602,3.0,3.0
230,1.0,1.0
2716,2.0,2.0
1676,3.0,3.0
1345,2.0,2.0
2756,3.0,3.0
3704,2.0,2.0
2731,2.0,2.0
3620,2.0,2.0
657,3.0,3.0
2918,2.0,2.0
2986,2.0,2.0
2224,2.0,2.0
894,2.0,2.0
1002,2.0,1.0
2607,2.0,3.0
3045,2.0,2.0
336,1.0,1.0
3390,1.0,1.0
3817,2.0,2.0
2204,2.0,2.0
3645,2.0,2.0
2935,2.0,2.0
507,2.0,2.0
341,1.0,1.0
3403,2.0,2.0
138,1.0,1.0
3889,2.0,2.0
1639,3.0,3.0
853,3.0,3.0
3734,1.0,2.0
2505,2.0,2.0
2749,3.0,3.0
3340,1.0,1.0
561,2.0,2.0
4056,2.0,2.0
2134,2.0,2.0
1125,3.0,2.0
2274,2.0,2.0
489,1.0,1.0
3464,2.0,3.0
2371,1.0,1.0
3581,3.0,3.0
3032,2.0,1.0
2344,2.0,2.0
346,1.0,1.0
3072,1.0,1.0
1565,2.0,2.0
1917,2.0,2.0
1079,3.0,2.0
2042,2.0,2.0
3323,1.0,1.0
1358,2.0,2.0
731,2.0,2.0
547,2.0,3.0
2357,2.0,2.0
1443,2.0,2.0
3788,2.0,2.0
1887,3.0,3.0
3007,2.0,1.0
1026,2.0,2.0
2949,2.0,2.0
2093,2.0,2.0
2941,2.0,2.0
1282,3.0,3.0
1804,3.0,3.0
1264,2.0,2.0
1074,3.0,3.0
3951,2.0,1.0
1174,1.0,1.0
3204,2.0,2.0
668,2.0,2.0
372,2.0,2.0
623,3.0,3.0
1613,2.0,2.0
3863,2.0,2.0
2982,2.0,1.0
3656,2.0,2.0
3128,1.0,1.0
3461,2.0,3.0
4030,2.0,2.0
1222,2.0,2.0
345,1.0,1.0
809,2.0,3.0
929,3.0,3.0
3240,1.0,1.0
2602,2.0,2.0
1851,3.0,3.0
4088,2.0,2.0
3382,2.0,2.0
980,2.0,2.0
973,3.0,2.0
903,2.0,3.0
1200,2.0,2.0
3179,2.0,1.0
1445,2.0,2.0
3721,2.0,2.0
2795,2.0,2.0
2880,2.0,2.0
1689,3.0,3.0
829,2.0,2.0
1436,1.0,1.0
365,1.0,1.0
1507,2.0,2.0
1088,3.0,2.0
1888,3.0,3.0
73,2.0,2.0
3641,2.0,2.0
3018,2.0,1.0
3444,3.0,3.0
2373,2.0,2.0
4005,2.0,2.0
735,2.0,3.0
4085,2.0,2.0
23,2.0,2.0
1181,2.0,2.0
688,3.0,3.0
1513,2.0,2.0
2792,3.0,3.0
607,3.0,3.0
3022,2.0,1.0
1332,2.0,2.0
2759,2.0,2.0
3354,2.0,2.0
3267,2.0,2.0
1155,2.0,2.0
1673,3.0,3.0
1992,2.0,2.0
3574,3.0,3.0
4095,3.0,3.0
411,1.0,1.0
1529,2.0,1.0
2609,2.0,2.0
3200,1.0,1.0
2347,1.0,1.0
4034,2.0,2.0
2526,2.0,3.0
1545,2.0,2.0
2300,1.0,1.0
3119,1.0,1.0
2263,1.0,1.0
2038,2.0,1.0
94,2.0,2.0
3220,2.0,2.0
1160,2.0,2.0
3768,2.0,2.0
2923,2.0,2.0
1605,2.0,2.0
2774,2.0,1.0
752,3.0,3.0
2681,3.0,3.0
3162,2.0,2.0
2434,2.0,1.0
3338,1.0,1.0
3329,1.0,1.0
3481,2.0,3.0
20,2.0,2.0
791,3.0,3.0
2554,3.0,3.0
1330,2.0,2.0
49,2.0,2.0
3206,2.0,1.0
2746,2.0,2.0
3003,2.0,2.0
2744,2.0,2.0
505,2.0,2.0
1122,3.0,2.0
438,2.0,2.0
1033,2.0,2.0
3482,1.0,2.0
3600,3.0,3.0
2755,3.0,3.0
1438,2.0,2.0
3462,2.0,2.0
446,2.0,2.0
3100,2.0,2.0
3760,2.0,2.0
725,3.0,3.0
3819,2.0,3.0
821,2.0,3.0
1029,3.0,3.0
1537,1.0,1.0
284,2.0,2.0
1838,3.0,3.0
4071,2.0,2.0
1460,2.0,2.0
1110,3.0,2.0
689,3.0,3.0
1816,3.0,3.0
3123,1.0,1.0
1316,2.0,2.0
22,2.0,2.0
2107,1.0,1.0
3605,3.0,3.0
1731,3.0,3.0
1646,3.0,3.0
113,1.0,1.0
3420,2.0,3.0
279,2.0,2.0
2131,2.0,2.0
3319,1.0,1.0
2559,3.0,3.0
246,2.0,2.0
3180,1.0,1.0
2884,2.0,2.0
2406,2.0,2.0
1762,2.0,2.0
565,2.0,2.0
3422,2.0,2.0
2834,1.0,1.0
3094,2.0,2.0
1806,3.0,3.0
3513,2.0,3.0
2870,2.0,2.0
3126,1.0,1.0
2901,2.0,2.0
3665,2.0,3.0
1766,2.0,2.0
3527,3.0,3.0
387,1.0,1.0
3223,2.0,2.0
2330,1.0,1.0
2121,2.0,2.0
970,3.0,2.0
1478,2.0,2.0
1144,1.0,1.0
3948,2.0,1.0
917,2.0,1.0
9,2.0,2.0
3690,2.0,2.0
2952,2.0,2.0
358,1.0,1.0
1692,3.0,3.0
718,3.0,3.0
1705,3.0,3.0
2424,2.0,2.0
3294,1.0,1.0
2820,2.0,2.0
86,1.0,1.0
287,2.0,2.0
1581,2.0,2.0
1895,3.0,2.0
745,2.0,2.0
116,1.0,1.0
2700,3.0,3.0
384,1.0,1.0
1014,2.0,2.0
3431,2.0,3.0
1085,3.0,2.0
3416,2.0,3.0
2100,2.0,2.0
295,2.0,2.0
81,2.0,1.0
331,1.0,1.0
2717,3.0,3.0
2893,2.0,2.0
1791,3.0,3.0
1923,2.0,2.0
1970,2.0,2.0
3244,2.0,2.0
460,2.0,2.0
611,3.0,3.0
866,3.0,3.0
3707,2.0,2.0
3700,2.0,2.0
997,2.0,1.0
2739,2.0,2.0
150,1.0,1.0
3367,2.0,2.0
2332,1.0,1.0
2337,2.0,2.0
627,3.0,3.0
153,1.0,1.0
3231,1.0,1.0
3317,2.0,2.0
332,1.0,1.0
1916,2.0,2.0
3921,2.0,1.0
1497,1.0,1.0
1669,3.0,3.0
58,2.0,2.0
4086,2.0,2.0
1204,2.0,2.0
1105,3.0,3.0
637,2.0,3.0
2897,2.0,2.0
2036,2.0,1.0
2664,2.0,2.0
3371,1.0,1.0
479,1.0,1.0
1825,3.0,3.0
1177,2.0,2.0
1998,2.0,2.0
2896,2.0,2.0
236,2.0,2.0
3460,2.0,3.0
2026,2.0,2.0
3633,2.0,2.0
3568,2.0,2.0
178,2.0,2.0
2945,2.0,2.0
2990,2.0,2.0
2066,1.0,1.0
1846,3.0,3.0
2469,2.0,2.0
3451,2.0,2.0
3814,2.0,2.0
235,2.0,1.0
882,2.0,2.0
2236,2.0,2.0
1307,2.0,2.0
2663,3.0,3.0
2944,2.0,2.0
1304,2.0,2.0
1554,2.0,2.0
3440,2.0,3.0
2122,2.0,2.0
404,1.0,1.0
3306,2.0,2.0
3724,2.0,2.0
3871,1.0,2.0
2326,2.0,2.0
3377,1.0,1.0
2645,3.0,3.0
1322,2.0,2.0
7,2.0,1.0
2393,2.0,2.0
3172,2.0,2.0
182,1.0,1.0
3864,1.0,2.0
1621,2.0,2.0
569,3.0,3.0
2422,2.0,2.0
1950,3.0,2.0
906,3.0,3.0
3684,2.0,2.0
3922,1.0,1.0
2430,2.0,2.0
2451,1.0,1.0
3882,2.0,2.0
2160,1.0,1.0
2904,2.0,2.0
2706,3.0,3.0
3726,2.0,2.0
742,3.0,3.0
692,3.0,3.0
779,2.0,2.0
