W/O #,Service Request #,No. of Breaks,W/O Date,SRC,Asset Type,Mat,Dia,FROM NODE,TO NODE,Failure Type,Failure Cause,W/M Depth,Soil Type,UNIT,Street,Pres Zone,Zone,Tile,COMPKEY
  1412105,1688030,1,03/06/2012,WOLF,WMN,DI,300,600436,607267,1.3,8.5,2.13 ,CLAY,1355,ORDAN DR,4,Z42W,0495,523720
  1023535,1355963,1,07/09/2010,WOLF,WMN,DI,300,600436,607267,1.3,8.5,1.83 ,CLAY,6300,ORDAN DR,4,Z42W,0495,523720
  1020586,1351603,1,28/08/2010,WOLF,WMN,DI,300,600436,607267,1.3,8.7,2.44 ,CLAY,6300,ORDAN DR,4,Z42W,0495,523720
   795327,1140894,1,27/07/2009,WOLF,WMN,DI,300,600436,607267,1.3,8.5,1.83 ,CLAY,N/W C,ORDAN DR,4,Z42W,0495,523720
   456888,642189,1,22/01/2007,WOLF,WMN,DI,300,600436,607267,1.3,8.5,1.83 ,CLAY,6300,ORDAN DR,4,Z42W,0495,523720
  1979879,2298302,1,09/09/2014,WOLF,WMN,DI,300,600438,600452,1.3,8.5,1.83 ,,6360,VIPOND DR,4,Z42W,0495,516052
  1636348,1905634,1,30/05/2013,WOLF,WMN,DI,300,600438,600452,1.3,8.7,2.44 ,CLAY,OPP.6360,VIPOND DR,4,Z42W,0495,516052
   473259,662337,1,21/03/2007,WOLF,WMN,DI,300,600438,600452,1.3,8.5,2.50 ,CLAY,6350,VIPOND DR,4,Z42W,0495,516052
   280006,1,1,01/01/1999,,WMN,DI,300,600438,600452,1.1,8.7,0.00 ,,,VIPOND DR,4,Z42W,0495,516052
   273667,1,1,19/01/1996,,WMN,DI,300,600440,600460,1.1,8.7,0.00 ,,,BRITANNIA RD,4,Z42W,0470,516044
  2220079,2504250,1,01/06/2015,WOLF,WMN,DI,300,600442,600461,1.3,8.7,2.13 ,CLAY,1180,BRITANNIA RD,4,Z42W,0445,516046
  1637529,1907902,1,03/06/2013,WOLF,WMN,DI,300,600442,600461,1.3,8.5,1.98 ,CLAY,1205,BRITANNIA RD,4,Z42W,0445,516046
  1636998,1907332,1,02/06/2013,WOLF,WMN,DI,300,600442,600461,1.3,8.5,2.44 ,CLAY,NO #,BRITANNIA RD,4,Z42W,0445,516046
   930963,1243755,1,15/02/2010,WOLF,WMN,DI,300,600442,600461,1.3,8.5,2.44 ,CLAY,N/E corn,BRITANNIA RD,4,Z42W,0445,516046
   783268,1120183,1,23/06/2009,WOLF,WMN,DI,300,600442,600461,1.3,8.5,3.05 ,CLAY,1205,BRITANNIA RD,4,Z42W,0445,516046
   779622,1116570,1,17/06/2009,WOLF,WMN,DI,300,600442,600461,1.3,8.5,2.89 ,CLAY,N/E C,BRITANNIA RD,4,Z42W,0445,516046
   215418,124546,1,23/10/2003,WOLF,WMN,DI,300,600442,600461,1.3,8.5,3.60 ,CLAY,,BRITANNIA RD,4,Z42W,0445,516046
   749279,1079849,1,22/04/2009,WOLF,WMN,PVC,300,600446,600447,3.1,8.6,2.13 ,CLAY,1025,TRISTAR DR,4,Z42W,0494,516028
   283397,1,1,30/08/1997,,WMN,PVC,300,600446,600447,1.3,8.5,0.00 ,,,TRISTAR DR,4,Z42W,0494,516028
  1567892,1845091,1,13/02/2013,WOLF,WMN,DI,300,600448,6564225,1.3,8.5,2.44 ,CLAY,940,WESTPORT CR,4,Z42W,0469,750263
   451873,633546,1,30/12/2006,WOLF,WMN,DI,300,600449,600448,1.3,8.5,1.83 ,CLAY,,SHAWSON DR,4,Z42W,0469,516051
   272138,1,1,21/08/1993,,WMN,DI,300,600452,607254,1.3,8.5,0.00 ,,,MEYERSIDE DR,4,Z42W,0494,523682
   465460,651305,1,21/02/2007,WOLF,WMN,DI,300,600455,600427,1.3,8.5,8.00 ,CLAY,N/E CORNER,DAVAND DR,4,Z42W,0570,525976
    25372,1,1,03/02/2001,WOLF,WMN,CPP,900,600459,600493,,,,,,PACIFIC CIR,4,Z42W,0544,516641
    83027,1,1,11/11/2001,WOLF,WMN,DI,300,600460,6586382,1.3,8.5,3.00 ,CLAY,,BRITANNIA RD,4,Z42W,0470,879440
   272756,1,1,17/04/1994,,WMN,DI,300,600460,6586382,1.3,8.5,0.00 ,,,BRITANNIA RD,4,Z42W,0470,879440
  1443144,1757312,1,04/09/2012,WOLF,WMN,DI,300,600469,600442,1.3,8.5,2.44 ,CLAY,1083,BRITANNIA RD,4,Z42W,0445,516045
   515778,768041,1,26/10/2007,WOLF,WMN,PVC,300,600489,600491,2.1,8.5,0.00 ,,6185,KESTREL RD,4,Z43E,0468,516089
   178571,88887,1,05/04/2003,WOLF,WMN,PVC,300,600489,600488,1.3,8.5,1.50 ,CLAY,,MEYERSIDE DR,4,Z43E,0493,516086
   642275,928531,1,29/10/2008,WOLF,WMN,CPP,900,600490,6589056,1.3,8.1,4.88 ,CLAY,6025,TOMKEN RD,4,Z42W,0469,918530
   334323,1,1,25/05/2005,WOLF,WMN,PVC,300,600490,600491,1.3,8.5,2.43 ,CLAY,,VERBENA RD,4,,0468,516065
  2151204,2423861,1,13/03/2015,WOLF,WMN,PVC,300,600502,600487,,8.7,2.13 ,,6476,KESTREL RD,4,Z43E,0518,516068
  1564547,1840720,1,05/02/2013,WOLF,WMN,PVC,300,600502,600489,2.1,8.7,2.74 ,CLAY,6355,KESTREL RD,4,Z43E,0493,516088
  1563777,1839538,1,02/02/2013,WOLF,WMN,PVC,300,600502,600489,5.1,8.5,2.13 ,CLAY,6345,KESTREL RD,4,Z43E,0493,516088
   305761,1,1,18/01/2005,WOLF,WMN,PVC,300,600502,600487,1.3,8.5,2.13 ,CLAY,,KESTREL RD,4,Z43E,0518,516068
   189983,92276,1,05/06/2003,WOLF,WMN,PVC,300,600502,600489,1.3,8.5,2.10 ,SHCL,,KESTREL RD,4,Z43E,0493,516088
   159369,1,1,13/01/2003,WOLF,WMN,PVC,300,600502,600489,2.1,8.5,1.80 ,CLAY,,KESTREL RD,4,Z43E,0493,516088
    40038,1,1,11/04/2001,WOLF,WMN,PVC,300,600502,600489,1.3,8.5,0.00 ,,,KESTREL RD,4,Z43E,0493,516088
   271464,1,1,19/06/1992,,WMN,PVC,300,600545,607454,1.2,8.7,0.00 ,,,EDWARDS BLVD,5,Z43W,0491,524061
  1664632,1922571,1,28/06/2013,WOLF,WMN,PVC,300,600556,600555,1.1,8.5,1.83 ,CLAY,6611,INNOVATOR DR,4,Z43W,0517,516120
   722289,1034904,1,02/03/2009,WOLF,WMN,PVC,300,600556,600555,2.1,8.5,1.83 ,SACL,6611,INNOVATOR DR,4,Z43W,0517,516120
   275042,1,1,02/07/1996,,WMN,PVC,300,600566,600528,2.1,8.7,0.00 ,,,ADMIRAL BLVD,5,Z43W,0541,516156
  2196819,2464301,1,25/04/2015,WOLF,WMN,PVC,300,600569,600562,,,3.05 ,,59,AMBASSADOR DR,5,Z43W,0516,516151
  1715711,1999017,1,25/10/2013,WOLF,WMN,PVC,300,600710,6582219,1.3,8.5,2.44 ,CLAY,731,GANA CT,4,Z51E,0594,858997
   274644,1,1,28/02/1989,,WMN,CPP,400,600716,6001569,2.1,8.2,0.00 ,,,CARDIFF BLVD,4,,0595,538028
   281637,1,1,21/08/1990,,WMN,PVC,300,600723,600474,1.2,8.7,0.00 ,,,407 HWY,4,Z51E,0567,523929
   332022,1,1,12/05/2005,WOLF,WMN,PVC,300,600724,6566928,1.2,8.7,2.13 ,CLAY,,EDWARDS BLVD,5,Z51W,0592,779969
   271479,1,1,17/07/1992,,WMN,CPP,450,600766,600745,1.1,8.7,0.00 ,,,LAKESHORE RD,1,Z09,0053,518646
  2030845,2365480,1,08/12/2014,WOLF,WMN,CI,150,600777,600778,,,0.00 ,,,LYNNROD CT,1,Z02,0039,516690
   441560,609206,1,08/11/2006,WOLF,WMN,CI,150,600781,600782,2.1,8.5,1.83 ,SAND,708,DACK BLVD,1,Z02,0054,516692
   404001,1,1,21/04/2006,WOLF,WMN,CI,150,600781,600777,1.1,8.5,2.00 ,SAND,,BALBOA DR,1,Z02,0054,522426
