BRKS_FVYRS_SCR,BRK_SCR,MI_SCR,RSL_SCR,out=1.0,out=2.0,out=3.0,out=4.0,out=5.0
10.0,5.0,10.0,15.0,0.0,0.09863,0.12158,0.65943,0.12037
10.0,0.0,10.0,5.0,0.0,0.99346,0.00654,0.0,0.0
10.0,10.0,10.0,5.0,0.0,0.43204,0.01527,0.0,0.55269
10.0,15.0,10.0,5.0,0.0,0.0,0.00214,0.0,0.99786
10.0,5.0,10.0,5.0,0.0,0.96254,0.02646,0.0,0.011
15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,15.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0
15.0,15.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0
15.0,5.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0
15.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,10.0,15.0,0.0,0.0,0.0,0.08936,0.91064
15.0,15.0,10.0,15.0,0.0,0.0,0.0,0.03859,0.96141
15.0,5.0,10.0,15.0,0.0,0.0,0.0,0.8176,0.1824
15.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0
15.0,15.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0
15.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,1.0
5.0,0.0,10.0,0.0,0.99885,0.00115,0.0,0.0,0.0
5.0,10.0,10.0,0.0,0.0,0.00757,0.0,0.99243,0.0
5.0,15.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,5.0,10.0,0.0,0.93336,0.00122,0.0,0.06541,0.0
5.0,0.0,10.0,10.0,0.60385,0.39322,0.00293,0.0,0.0
5.0,10.0,10.0,10.0,0.0,0.5957,0.02385,0.38045,0.0
5.0,15.0,10.0,10.0,0.0,0.0,0.01175,0.98825,0.0
5.0,5.0,10.0,10.0,0.51094,0.37861,0.01179,0.09866,0.0
5.0,0.0,10.0,15.0,0.49675,0.37088,0.13237,0.0,0.0
5.0,10.0,10.0,15.0,0.0,0.01305,0.025,0.80557,0.15638
5.0,15.0,10.0,15.0,0.0,0.0,0.00398,0.67549,0.32053
5.0,5.0,10.0,15.0,0.04064,0.03453,0.05145,0.86968,0.0037
5.0,0.0,10.0,5.0,0.10157,0.89134,0.0071,0.0,0.0
5.0,10.0,10.0,5.0,0.0,0.86587,0.037,0.0,0.09713
5.0,15.0,10.0,5.0,0.0,0.0,0.0287,0.0,0.9713
5.0,5.0,10.0,5.0,0.08828,0.88155,0.0293,0.0,0.00088
0.0,0.0,15.0,0.0,0.99794,0.00206,0.0,0.0,0.0
0.0,10.0,15.0,0.0,0.0,0.5643,0.0,0.4357,0.0
0.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,5.0,15.0,0.0,0.99692,0.00234,0.0,0.00074,0.0
0.0,0.0,15.0,10.0,0.45532,0.53242,0.01226,0.0,0.0
0.0,10.0,15.0,10.0,0.0,0.88701,0.10966,0.00333,0.0
0.0,15.0,15.0,10.0,0.0,0.0,0.86181,0.13819,0.0
0.0,5.0,15.0,10.0,0.40641,0.54077,0.05199,0.00083,0.0
0.0,0.0,15.0,15.0,0.26188,0.3511,0.38701,0.0,0.0
0.0,10.0,15.0,15.0,0.0,0.12638,0.74779,0.04592,0.07991
0.0,15.0,15.0,15.0,0.0,0.0,0.37023,0.11988,0.5099
0.0,5.0,15.0,15.0,0.10224,0.15598,0.71777,0.02313,0.00088
0.0,0.0,15.0,5.0,0.05832,0.91908,0.0226,0.0,0.0
0.0,10.0,15.0,5.0,0.0,0.87882,0.11598,0.0,0.0052
0.0,15.0,15.0,5.0,0.0,0.0,0.63366,0.0,0.36634
0.0,5.0,15.0,5.0,0.04814,0.86322,0.08859,0.0,5e-05
10.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0
10.0,10.0,15.0,0.0,0.0,0.01057,0.0,0.98943,0.0
10.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,5.0,15.0,0.0,0.0,0.02552,0.0,0.97448,0.0
10.0,0.0,15.0,10.0,0.0,0.93366,0.06634,0.0,0.0
10.0,10.0,15.0,10.0,0.0,0.54433,0.2076,0.24808,0.0
10.0,15.0,15.0,10.0,0.0,0.0,0.13697,0.86303,0.0
10.0,5.0,15.0,10.0,0.0,0.67451,0.20006,0.12543,0.0
10.0,0.0,15.0,15.0,0.0,0.22725,0.77275,0.0,0.0
10.0,10.0,15.0,15.0,0.0,0.00207,0.03786,0.09137,0.8687
10.0,15.0,15.0,15.0,0.0,0.0,0.00323,0.04112,0.95565
10.0,5.0,15.0,15.0,0.0,0.02709,0.38461,0.48694,0.10135
10.0,0.0,15.0,5.0,0.0,0.9295,0.0705,0.0,0.0
10.0,10.0,15.0,5.0,0.0,0.18769,0.07641,0.0,0.7359
10.0,15.0,15.0,5.0,0.0,0.0,0.00799,0.0,0.99201
10.0,5.0,15.0,5.0,0.0,0.73984,0.23425,0.0,0.02591
15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,5.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0
15.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0
15.0,5.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0
15.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,15.0,0.0,0.0,0.0,0.07923,0.92077
15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.03401,0.96599
15.0,5.0,15.0,15.0,0.0,0.0,0.0,0.7972,0.2028
15.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0
15.0,10.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0
15.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0
15.0,5.0,15.0,5.0,0.0,0.0,0.0,0.0,1.0
5.0,0.0,15.0,0.0,0.99825,0.00175,0.0,0.0,0.0
5.0,10.0,15.0,0.0,0.0,0.00283,0.0,0.99717,0.0
5.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,5.0,15.0,0.0,0.77545,0.00155,0.0,0.223,0.0
5.0,0.0,15.0,10.0,0.4809,0.47805,0.04105,0.0,0.0
5.0,10.0,15.0,10.0,0.0,0.31469,0.14507,0.54024,0.0
5.0,15.0,15.0,10.0,0.0,0.0,0.04846,0.95154,0.0
5.0,5.0,15.0,10.0,0.30038,0.33979,0.12182,0.23801,0.0
5.0,0.0,15.0,15.0,0.14653,0.16701,0.68645,0.0,0.0
5.0,10.0,15.0,15.0,0.0,0.00443,0.09775,0.7351,0.16272
5.0,15.0,15.0,15.0,0.0,0.0,0.0161,0.63845,0.34545
5.0,5.0,15.0,15.0,0.00887,0.0115,0.19732,0.77854,0.00377
5.0,0.0,15.0,5.0,0.064,0.8574,0.0786,0.0,0.0
5.0,10.0,15.0,5.0,0.0,0.54469,0.26803,0.0,0.18728
5.0,15.0,15.0,5.0,0.0,0.0,0.09994,0.0,0.90006
5.0,5.0,15.0,5.0,0.0452,0.68901,0.26368,0.0,0.00212
0.0,0.0,5.0,0.0,0.99999,1e-05,0.0,0.0,0.0
