ACCESS_SCR,BRKS_FVYRS_SCR,BRK_SCR,DIA_SCR,ENVMT_SCR,HEAD_LOSS_SCR,MI_SCR,QUALIT_SCR,RSL_SCR,STANDARD_CONFOR,out=1.0,out=2.0,out=3.0,out=4.0
15.0,5.0,15.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99982,0.00018,0.0,0.0
15.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99943,0.00057,0.0,0.0
0.0,0.0,5.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,0.0,5.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99948,0.00052,0.0,0.0
15.0,0.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99836,0.00164,0.0,0.0
0.0,0.0,5.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99983,0.00017,0.0,0.0
15.0,0.0,5.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99947,0.00053,0.0,0.0
0.0,0.0,5.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,0.0,5.0,0.0,15.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,5.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99952,0.00048,0.0,0.0
15.0,0.0,5.0,0.0,15.0,5.0,10.0,0.0,0.0,0.0,0.99848,0.00152,0.0,0.0
0.0,10.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99904,0.00096,0.0,0.0
15.0,10.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.99695,0.00305,0.0,0.0
0.0,10.0,5.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15.0,10.0,5.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,10.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99724,0.00276,0.0,0.0
15.0,10.0,5.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.99127,0.00873,0.0,0.0
0.0,10.0,5.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99911,0.00089,0.0,0.0
15.0,10.0,5.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.99717,0.00283,0.0,0.0
