fuzzy_criticality_model,naive_bayes_Condition_Score,naive_bayes_condition_model_nb_pred,fuzzy_Criticality_SCR,FID,fuzzy_condition_model,fuzzy_Condition_Score
30,220.0,,30,879,240,240
210,176.0,,210,1289,200,200
210,176.0,,210,1288,200,200
210,176.0,,210,514,200,200
120,176.0,,120,3430,200,200
210,88.0,,210,1579,120,120
210,220.0,,210,1578,240,240
210,132.0,,210,689,160,160
210,176.0,,210,688,200,200
120,132.0,,120,3431,160,160
30,88.0,,30,685,120,120
30,88.0,,30,684,120,120
210,132.0,,210,687,160,160
30,88.0,,30,686,120,120
30,176.0,,30,681,200,200
30,176.0,,30,680,200,200
30,88.0,,30,683,120,120
180,132.0,,180,682,160,160
120,132.0,,120,458,160,160
120,132.0,,120,3433,160,160
210,352.0,,210,1226,360,360
120,132.0,,120,3434,160,160
210,220.0,,210,621,240,240
270,88.0,,270,873,120,120
210,132.0,,210,1224,160,160
120,132.0,,120,3436,160,160
210,264.0,,210,1223,280,280
120,132.0,,120,3437,160,160
210,220.0,,210,1222,240,240
270,132.0,,270,2741,160,160
210,220.0,,210,1221,240,240
270,132.0,,270,2740,160,160
210,176.0,,210,1220,200,200
270,132.0,,270,2743,160,160
120,88.0,,120,407,120,120
120,88.0,,120,406,120,120
120,132.0,,120,405,160,160
90,88.0,,90,404,120,120
120,220.0,,120,403,240,240
120,220.0,,120,402,240,240
30,132.0,,30,401,160,160
30,88.0,,30,400,120,120
210,308.0,,210,1379,320,320
210,352.0,,210,1378,360,360
210,132.0,,210,1342,160,160
120,88.0,,120,409,120,120
120,88.0,,120,408,120,120
180,264.0,,180,3834,280,280
120,132.0,,120,3835,160,160
30,264.0,,30,3836,280,280
210,132.0,,210,453,160,160
30,88.0,,30,3830,120,120
270,176.0,,270,2747,200,200
180,220.0,,180,3832,240,240
210,88.0,,210,3833,120,120
210,176.0,,210,454,200,200
120,132.0,,120,2148,160,160
180,264.0,,180,3838,280,280
270,176.0,,270,3839,200,200
30,88.0,,30,455,120,120
210,264.0,,210,4031,280,280
270,176.0,,270,2749,200,200
210,220.0,,210,4033,240,240
210,176.0,,210,4032,200,200
210,132.0,,210,4035,160,160
210,132.0,,210,1346,160,160
210,88.0,,210,4037,120,120
270,220.0,,270,2748,240,240
30,88.0,,30,4039,120,120
210,88.0,,210,4038,120,120
210,132.0,,210,1347,160,160
180,308.0,,180,3796,320,320
180,132.0,,180,3569,160,160
30,264.0,,30,3206,280,280
90,220.0,,90,379,240,240
90,88.0,,90,378,120,120
270,88.0,,270,3620,120,120
210,220.0,,210,371,240,240
30,88.0,,30,370,120,120
210,176.0,,210,373,200,200
210,220.0,,210,372,240,240
120,176.0,,120,375,200,200
210,44.0,,210,374,80,80
210,0.0,,210,377,40,40
120,176.0,,120,376,200,200
30,88.0,,30,2295,120,120
30,176.0,,30,3093,200,200
30,132.0,,30,3205,160,160
90,176.0,,90,393,200,200
120,132.0,,120,392,160,160
120,88.0,,120,391,120,120
120,88.0,,120,390,120,120
120,88.0,,120,397,120,120
90,176.0,,90,396,200,200
90,176.0,,90,395,200,200
90,176.0,,90,394,200,200
210,220.0,,210,399,240,240
210,220.0,,210,398,240,240
180,132.0,,180,3593,160,160
270,132.0,,270,895,160,160
30,88.0,,30,2309,120,120
30,132.0,,30,2308,160,160
30,176.0,,30,2301,200,200
30,176.0,,30,2300,200,200
30,132.0,,30,2303,160,160
30,88.0,,30,2302,120,120
30,88.0,,30,2305,120,120
30,132.0,,30,2304,160,160
30,176.0,,30,2307,200,200
30,176.0,,30,2306,200,200
180,132.0,,180,3592,160,160
270,220.0,,270,2746,240,240
180,308.0,,180,3748,320,320
180,308.0,,180,3749,320,320
180,220.0,,180,3746,240,240
120,132.0,,120,3203,160,160
180,220.0,,180,3744,240,240
180,264.0,,180,3745,280,280
180,220.0,,180,3742,240,240
180,220.0,,180,3743,240,240
180,220.0,,180,3740,240,240
180,220.0,,180,3741,240,240
210,132.0,,210,245,160,160
210,132.0,,210,244,160,160
210,132.0,,210,247,160,160
210,132.0,,210,246,160,160
210,132.0,,210,241,160,160
30,132.0,,30,240,160,160
210,132.0,,210,243,160,160
210,132.0,,210,242,160,160
180,220.0,,180,3591,240,240
210,132.0,,210,249,160,160
210,220.0,,210,248,240,240
210,88.0,,210,2275,120,120
210,88.0,,210,2274,120,120
30,88.0,,30,2277,120,120
30,88.0,,30,2276,120,120
30,88.0,,30,2271,120,120
30,88.0,,30,2270,120,120
30,88.0,,30,2273,120,120
30,88.0,,30,2272,120,120
30,88.0,,30,2279,120,120
30,88.0,,30,2278,120,120
210,220.0,,210,2337,240,240
210,220.0,,210,2198,240,240
30,88.0,,30,2459,120,120
30,132.0,,30,2458,160,160
30,88.0,,30,2455,120,120
30,88.0,,30,2454,120,120
30,88.0,,30,2457,120,120
30,88.0,,30,2456,120,120
30,132.0,,30,2451,160,160
30,132.0,,30,2450,160,160
210,220.0,,210,2453,240,240
210,220.0,,210,2452,240,240
210,220.0,,210,179,240,240
210,220.0,,210,178,240,240
210,132.0,,210,177,160,160
210,220.0,,210,176,240,240
210,44.0,,210,175,80,80
210,132.0,,210,174,160,160
210,132.0,,210,173,160,160
210,308.0,,210,172,320,320
210,352.0,,210,171,360,360
210,132.0,,210,170,160,160
210,308.0,,210,2051,320,320
90,132.0,,90,1502,160,160
30,176.0,,30,2053,200,200
30,176.0,,30,2052,200,200
30,264.0,,30,2055,280,280
120,308.0,,120,2054,320,320
30,264.0,,30,2057,280,280
90,176.0,,90,1503,200,200
210,352.0,,210,2059,360,360
210,176.0,,210,2058,200,200
120,264.0,,120,3692,280,280
120,440.0,,120,3693,440,440
30,220.0,,30,3694,240,240
90,132.0,,90,1500,160,160
30,264.0,,30,3696,280,280
30,220.0,,30,3697,240,240
90,176.0,,90,1501,200,200
180,352.0,,180,3596,360,360
210,132.0,,210,1506,160,160
270,88.0,,270,2968,120,120
210,220.0,,210,1507,240,240
210,176.0,,210,1367,200,200
210,264.0,,210,1504,280,280
210,132.0,,210,1505,160,160
210,88.0,,210,3526,120,120
210,132.0,,210,2157,160,160
120,88.0,,120,3524,120,120
30,88.0,,30,3525,120,120
210,308.0,,210,3522,320,320
120,88.0,,120,3523,120,120
210,264.0,,210,3520,280,280
210,176.0,,210,3521,200,200
30,396.0,,30,3087,400,400
210,264.0,,210,1227,280,280
120,132.0,,120,3529,160,160
30,176.0,,30,3086,200,200
30,88.0,,30,3543,120,120
180,132.0,,180,3594,160,160
180,220.0,,180,1977,240,240
30,176.0,,30,3083,200,200
180,308.0,,180,2699,320,320
180,220.0,,180,1976,240,240
270,132.0,,270,2697,160,160
270,132.0,,270,2696,160,160
270,132.0,,270,2695,160,160
210,132.0,,210,659,160,160
270,308.0,,270,2693,320,320
180,220.0,,180,1975,240,240
180,132.0,,180,2691,160,160
270,132.0,,270,2690,160,160
210,88.0,,210,2405,120,120
180,220.0,,180,1974,240,240
180,264.0,,180,3782,280,280
180,220.0,,180,1973,240,240
180,220.0,,180,1972,240,240
180,220.0,,180,1971,240,240
180,220.0,,180,1970,240,240
30,88.0,,30,3232,120,120
30,88.0,,30,3233,120,120
30,88.0,,30,3230,120,120
30,132.0,,30,3231,160,160
180,220.0,,180,1968,240,240
180,220.0,,180,1969,240,240
210,308.0,,210,1618,320,320
210,220.0,,210,1619,240,240
210,220.0,,210,1616,240,240
210,264.0,,210,1617,280,280
210,220.0,,210,1614,240,240
210,264.0,,210,1615,280,280
210,352.0,,210,1612,360,360
210,176.0,,210,1613,200,200
210,88.0,,210,1610,120,120
210,88.0,,210,1611,120,120
180,264.0,,180,1985,280,280
270,176.0,,270,3650,200,200
180,308.0,,180,2873,320,320
180,352.0,,180,2872,360,360
180,264.0,,180,2871,280,280
180,264.0,,180,2870,280,280
180,220.0,,180,2877,240,240
180,308.0,,180,2876,320,320
180,220.0,,180,2875,240,240
30,396.0,,30,2542,400,400
180,308.0,,180,2879,320,320
180,264.0,,180,2878,280,280
120,220.0,,120,3355,240,240
120,220.0,,120,3354,240,240
120,88.0,,120,3357,120,120
120,176.0,,120,3356,200,200
30,352.0,,30,3351,360,360
210,264.0,,210,3350,280,280
30,44.0,,30,3353,80,80
30,132.0,,30,3352,160,160
30,220.0,,30,3359,240,240
120,176.0,,120,3358,200,200
180,264.0,,180,3781,280,280
30,220.0,,30,3953,240,240
30,220.0,,30,2544,240,240
60,308.0,,60,1768,320,320
270,176.0,,270,1769,200,200
30,264.0,,30,1762,280,280
30,220.0,,30,1763,240,240
30,220.0,,30,1760,240,240
30,220.0,,30,1761,240,240
30,220.0,,30,1766,240,240
30,220.0,,30,1767,240,240
30,220.0,,30,1764,240,240
30,308.0,,30,1765,320,320
120,176.0,,120,1142,200,200
30,132.0,,30,1143,160,160
120,132.0,,120,1140,160,160
120,132.0,,120,1141,160,160
120,132.0,,120,1146,160,160
120,132.0,,120,1147,160,160
30,176.0,,30,1144,200,200
120,132.0,,120,1145,160,160
120,264.0,,120,1148,280,280
30,308.0,,30,1149,320,320
0,440.0,,0,2967,440,440
0,264.0,,0,2966,280,280
210,132.0,,210,2402,160,160
180,220.0,,180,3787,240,240
210,132.0,,210,692,160,160
210,264.0,,210,693,280,280
210,132.0,,210,690,160,160
210,132.0,,210,691,160,160
210,132.0,,210,696,160,160
210,132.0,,210,697,160,160
210,220.0,,210,694,240,240
210,220.0,,210,695,240,240
210,176.0,,210,698,200,200
210,176.0,,210,699,200,200
210,88.0,,210,1548,120,120
210,132.0,,210,1549,160,160
210,176.0,,210,542,200,200
120,176.0,,120,543,200,200
210,352.0,,210,540,360,360
210,220.0,,210,541,240,240
30,220.0,,30,546,240,240
120,88.0,,120,547,120,120
120,88.0,,120,544,120,120
120,88.0,,120,545,120,120
0,220.0,,0,3784,240,240
120,88.0,,120,548,120,120
120,308.0,,120,549,320,320
270,132.0,,270,1782,160,160
0,176.0,,0,3885,200,200
270,264.0,,270,1783,280,280
270,176.0,,270,1784,200,200
270,176.0,,270,1785,200,200
270,88.0,,270,1786,120,120
210,88.0,,210,2388,120,120
270,88.0,,270,1787,120,120
0,220.0,,0,3880,240,240
30,88.0,,30,3320,120,120
210,88.0,,210,3547,120,120
90,88.0,,90,414,120,120
90,88.0,,90,415,120,120
90,88.0,,90,416,120,120
90,88.0,,90,417,120,120
120,88.0,,120,410,120,120
90,88.0,,90,411,120,120
90,88.0,,90,412,120,120
90,88.0,,90,413,120,120
30,88.0,,30,1384,120,120
30,88.0,,30,1385,120,120
210,264.0,,210,1386,280,280
210,264.0,,210,1387,280,280
90,88.0,,90,418,120,120
90,88.0,,90,419,120,120
30,264.0,,30,1382,280,280
30,176.0,,30,1383,200,200
120,88.0,,120,3827,120,120
120,88.0,,120,3826,120,120
120,176.0,,120,3825,200,200
270,132.0,,270,3824,160,160
120,220.0,,120,3823,240,240
30,352.0,,30,3822,360,360
30,88.0,,30,3821,120,120
210,220.0,,210,3820,240,240
180,132.0,,180,3582,160,160
120,176.0,,120,3829,200,200
120,176.0,,120,3828,200,200
180,132.0,,180,3583,160,160
120,176.0,,120,2446,200,200
210,220.0,,210,2438,240,240
180,132.0,,180,3585,160,160
30,308.0,,30,3042,320,320
180,132.0,,180,3587,160,160
180,132.0,,180,3588,160,160
30,176.0,,30,368,200,200
30,88.0,,30,369,120,120
30,88.0,,30,366,120,120
30,88.0,,30,367,120,120
30,88.0,,30,364,120,120
30,88.0,,30,365,120,120
30,88.0,,30,362,120,120
30,88.0,,30,363,120,120
30,88.0,,30,360,120,120
30,88.0,,30,361,120,120
270,88.0,,270,2760,120,120
30,176.0,,30,3202,200,200
30,220.0,,30,380,240,240
30,220.0,,30,381,240,240
30,220.0,,30,382,240,240
30,88.0,,30,383,120,120
30,88.0,,30,384,120,120
30,132.0,,30,385,160,160
30,132.0,,30,386,160,160
30,132.0,,30,387,160,160
30,132.0,,30,388,160,160
120,88.0,,120,389,120,120
210,88.0,,210,3215,120,120
180,220.0,,180,3747,240,240
270,88.0,,270,2792,120,120
210,132.0,,210,3216,160,160
180,220.0,,180,3759,240,240
180,220.0,,180,3758,240,240
180,176.0,,180,3751,200,200
180,220.0,,180,3750,240,240
0,264.0,,0,3753,280,280
0,396.0,,0,3752,400,400
180,220.0,,180,3755,240,240
180,220.0,,180,3754,240,240
180,220.0,,180,3757,240,240
180,220.0,,180,3756,240,240
30,176.0,,30,2190,200,200
210,220.0,,210,2191,240,240
210,132.0,,210,258,160,160
210,176.0,,210,259,200,200
210,132.0,,210,2194,160,160
30,132.0,,30,2195,160,160
210,220.0,,210,2196,240,240
210,176.0,,210,2197,200,200
210,176.0,,210,252,200,200
30,88.0,,30,253,120,120
30,132.0,,30,250,160,160
210,264.0,,210,251,280,280
210,132.0,,210,256,160,160
210,176.0,,210,257,200,200
120,132.0,,120,254,160,160
210,220.0,,210,255,240,240
30,132.0,,30,2200,160,160
210,176.0,,210,2201,200,200
210,132.0,,210,2202,160,160
210,220.0,,210,2203,240,240
210,220.0,,210,2204,240,240
120,132.0,,120,2205,160,160
30,88.0,,30,2206,120,120
30,308.0,,30,2207,320,320
30,220.0,,30,2208,240,240
210,88.0,,210,2209,120,120
30,132.0,,30,3210,160,160
210,176.0,,210,1679,200,200
210,220.0,,210,2428,240,240
210,176.0,,210,2429,200,200
210,88.0,,210,2400,120,120
30,220.0,,30,2420,240,240
30,176.0,,30,2421,200,200
120,264.0,,120,2422,280,280
120,88.0,,120,2423,120,120
120,176.0,,120,2424,200,200
270,176.0,,270,1849,200,200
210,176.0,,210,2426,200,200
210,220.0,,210,2427,240,240
210,176.0,,210,2432,200,200
270,176.0,,270,1848,200,200
210,264.0,,210,168,280,280
210,132.0,,210,169,160,160
210,264.0,,210,164,280,280
210,132.0,,210,165,160,160
210,308.0,,210,166,320,320
210,264.0,,210,167,280,280
210,132.0,,210,160,160,160
210,220.0,,210,161,240,240
210,132.0,,210,162,160,160
210,220.0,,210,163,240,240
30,220.0,,30,3689,240,240
30,220.0,,30,3688,240,240
30,264.0,,30,3683,280,280
30,264.0,,30,3682,280,280
30,352.0,,30,3681,360,360
120,88.0,,120,3680,120,120
30,220.0,,30,3687,240,240
30,220.0,,30,3686,240,240
30,220.0,,30,3685,240,240
30,220.0,,30,3684,240,240
30,88.0,,30,3257,120,120
90,132.0,,90,3212,160,160
210,176.0,,210,2518,200,200
30,176.0,,30,2519,200,200
270,220.0,,270,1842,240,240
120,132.0,,120,2514,160,160
120,352.0,,120,2515,360,360
210,176.0,,210,2516,200,200
210,176.0,,210,2517,200,200
120,132.0,,120,2510,160,160
270,220.0,,270,1841,240,240
210,88.0,,210,2512,120,120
30,132.0,,30,2513,160,160
180,44.0,,180,2734,80,80
180,132.0,,180,2735,160,160
180,132.0,,180,2736,160,160
270,132.0,,270,1840,160,160
180,308.0,,180,2730,320,320
180,176.0,,180,2731,200,200
180,264.0,,180,2732,280,280
180,220.0,,180,2733,240,240
30,88.0,,30,3226,120,120
270,132.0,,270,2738,160,160
270,396.0,,270,2739,400,400
210,88.0,,210,3531,120,120
120,220.0,,120,3213,240,240
30,88.0,,30,3533,120,120
210,88.0,,210,3532,120,120
30,88.0,,30,3535,120,120
30,88.0,,30,3534,120,120
30,88.0,,30,3537,120,120
30,88.0,,30,3536,120,120
210,132.0,,210,3539,160,160
30,88.0,,30,678,120,120
30,132.0,,30,679,160,160
270,88.0,,270,1814,120,120
270,132.0,,270,1815,160,160
270,88.0,,270,1816,120,120
270,308.0,,270,1817,320,320
270,88.0,,270,1810,120,120
270,132.0,,270,1811,160,160
270,88.0,,270,1812,120,120
270,88.0,,270,1813,120,120
270,220.0,,270,1818,240,240
270,264.0,,270,1819,280,280
210,220.0,,210,670,240,240
270,88.0,,270,2795,120,120
210,88.0,,210,671,120,120
210,176.0,,210,2401,200,200
210,88.0,,210,1609,120,120
210,88.0,,210,1608,120,120
30,88.0,,30,3229,120,120
30,132.0,,30,3228,160,160
180,220.0,,180,1979,240,240
180,220.0,,180,1978,240,240
210,396.0,,210,1601,400,400
210,440.0,,210,1600,480,480
210,220.0,,210,1603,240,240
210,352.0,,210,1602,360,360
210,308.0,,210,1605,320,320
210,264.0,,210,1604,280,280
210,88.0,,210,1607,120,120
210,88.0,,210,1606,120,120
180,176.0,,180,809,200,200
60,176.0,,60,808,200,200
180,132.0,,180,803,160,160
180,176.0,,180,802,200,200
180,132.0,,180,801,160,160
180,132.0,,180,800,160,160
180,176.0,,180,807,200,200
180,220.0,,180,806,240,240
180,220.0,,180,805,240,240
180,132.0,,180,804,160,160
180,396.0,,180,2848,400,400
210,132.0,,210,2849,160,160
180,132.0,,180,2846,160,160
180,0.0,,180,2847,40,40
60,396.0,,60,2844,400,400
180,132.0,,180,2845,160,160
180,176.0,,180,2842,200,200
270,308.0,,270,2843,320,320
180,308.0,,180,2840,320,320
180,220.0,,180,2841,240,240
120,220.0,,120,3039,240,240
30,88.0,,30,3321,120,120
30,88.0,,30,3322,120,120
30,88.0,,30,3323,120,120
30,220.0,,30,3324,240,240
120,264.0,,120,3325,280,280
120,132.0,,120,3326,160,160
210,88.0,,210,3327,120,120
30,176.0,,30,3328,200,200
30,176.0,,30,3329,200,200
180,176.0,,180,3589,200,200
270,176.0,,270,1775,200,200
180,220.0,,180,1774,240,240
270,176.0,,270,1777,200,200
270,176.0,,270,1776,200,200
180,220.0,,180,1771,240,240
270,176.0,,270,1770,200,200
60,176.0,,60,1773,200,200
180,220.0,,180,1772,240,240
270,176.0,,270,1779,200,200
270,220.0,,270,1778,240,240
0,352.0,,0,3972,360,360
210,88.0,,210,608,120,120
0,308.0,,0,3975,320,320
0,352.0,,0,3974,360,360
210,176.0,,210,2998,200,200
210,264.0,,210,1159,280,280
120,132.0,,120,1158,160,160
120,396.0,,120,2999,400,400
120,176.0,,120,1155,200,200
120,176.0,,120,1154,200,200
120,176.0,,120,1157,200,200
120,176.0,,120,1156,200,200
30,264.0,,30,1151,280,280
210,176.0,,210,1150,200,200
120,176.0,,120,1153,200,200
120,176.0,,120,1152,200,200
210,220.0,,210,1555,240,240
210,88.0,,210,2618,120,120
210,88.0,,210,1554,120,120
210,88.0,,210,1551,120,120
210,88.0,,210,1550,120,120
210,132.0,,210,1553,160,160
210,88.0,,210,1552,120,120
210,308.0,,210,59,320,320
210,132.0,,210,58,160,160
210,176.0,,210,1557,200,200
210,88.0,,210,1556,120,120
210,132.0,,210,55,160,160
210,132.0,,210,54,160,160
210,176.0,,210,57,200,200
210,132.0,,210,56,160,160
210,176.0,,210,51,200,200
210,132.0,,210,50,160,160
210,132.0,,210,53,160,160
210,132.0,,210,52,160,160
210,88.0,,210,537,120,120
210,88.0,,210,536,120,120
210,88.0,,210,535,120,120
210,88.0,,210,534,120,120
210,88.0,,210,533,120,120
210,88.0,,210,532,120,120
210,88.0,,210,531,120,120
210,88.0,,210,530,120,120
0,264.0,,0,2992,280,280
210,220.0,,210,539,240,240
210,88.0,,210,538,120,120
0,308.0,,0,2993,320,320
210,176.0,,210,1558,200,200
0,308.0,,0,2994,320,320
30,88.0,,30,3541,120,120
0,220.0,,0,2995,240,240
210,220.0,,210,2805,240,240
30,88.0,,30,3294,120,120
180,88.0,,180,2996,120,120
30,88.0,,30,3295,120,120
270,132.0,,270,2997,160,160
30,88.0,,30,3296,120,120
30,88.0,,30,3297,120,120
30,88.0,,30,3290,120,120
120,176.0,,120,3455,200,200
30,44.0,,30,3291,80,80
30,88.0,,30,429,120,120
30,132.0,,30,428,160,160
30,220.0,,30,3292,240,240
210,220.0,,210,1399,240,240
210,220.0,,210,1398,240,240
210,176.0,,210,421,200,200
90,88.0,,90,420,120,120
210,88.0,,210,423,120,120
210,132.0,,210,422,160,160
210,132.0,,210,425,160,160
210,88.0,,210,424,120,120
30,176.0,,30,427,200,200
30,176.0,,30,426,200,200
180,132.0,,180,3812,160,160
