FID,condition_model,Criticality_SCR,Condition_Score,criticality_model
2833,320,30,320,30
2834,320,30,320,30
2835,200,30,200,30
2836,280,180,280,180
2837,280,210,280,210
2838,120,0,120,0
2839,280,180,280,180
2840,320,180,320,180
2841,240,180,240,180
2842,200,180,200,180
2843,320,270,320,270
2844,400,60,400,60
2845,160,180,160,180
2846,160,180,160,180
2847,40,180,40,180
2848,400,180,400,180
2849,160,210,160,210
2850,320,180,320,180
2851,360,180,360,180
2852,320,180,320,180
2853,320,180,320,180
2854,360,180,360,180
2855,240,180,240,180
2856,240,180,240,180
2857,320,180,320,180
2858,200,240,200,240
2859,200,240,200,240
2860,200,240,200,240
2861,200,240,200,240
2862,200,240,200,240
2863,200,240,200,240
2864,280,240,280,240
2865,200,240,200,240
2866,280,240,280,240
2867,320,180,320,180
2868,320,180,320,180
2869,280,180,280,180
2870,280,180,280,180
2871,280,180,280,180
2872,360,180,360,180
2873,320,180,320,180
2874,280,240,280,240
2875,240,180,240,180
2876,320,180,320,180
2877,240,180,240,180
2878,280,180,280,180
2879,320,180,320,180
2880,320,180,320,180
2881,280,180,280,180
2882,320,180,320,180
2883,280,180,280,180
2884,280,180,280,180
2885,280,180,280,180
2886,280,180,280,180
2887,320,180,320,180
2888,240,180,240,180
2889,360,180,360,180
2890,280,180,280,180
2891,240,180,240,180
2892,360,180,360,180
2893,360,180,360,180
2894,240,240,240,240
2895,200,240,200,240
2896,200,240,200,240
2897,240,180,240,180
2898,280,180,280,180
2899,280,180,280,180
2900,320,180,320,180
2901,240,180,240,180
2902,240,180,240,180
2903,240,180,240,180
2904,280,180,280,180
2905,400,180,400,180
2906,240,180,240,180
2907,200,240,200,240
2908,200,240,200,240
2909,200,240,200,240
2910,280,240,280,240
2911,200,240,200,240
2912,200,240,200,240
2913,200,240,200,240
2914,360,180,360,180
2915,280,180,280,180
2916,320,180,320,180
2917,320,180,320,180
2918,360,180,360,180
2919,280,180,280,180
2920,320,180,320,180
2921,320,180,320,180
2922,320,180,320,180
2923,320,180,320,180
2924,320,180,320,180
2925,320,180,320,180
2926,320,180,320,180
2927,320,180,320,180
2928,240,180,240,180
2929,400,180,400,180
2930,360,180,360,180
2931,280,180,280,180
2932,240,180,240,180
2933,280,180,280,180
2934,320,180,320,180
2935,320,180,320,180
2936,320,180,320,180
2937,280,180,280,180
2938,400,180,400,180
2939,280,180,280,180
2940,320,180,320,180
2941,280,180,280,180
2942,320,180,320,180
2943,320,180,320,180
2944,320,180,320,180
2945,280,180,280,180
2946,200,240,200,240
2947,280,240,280,240
2948,200,240,200,240
2949,200,240,200,240
2950,200,240,200,240
2951,200,240,200,240
2952,200,240,200,240
2953,280,180,280,180
2954,240,240,240,240
2955,200,240,200,240
2956,200,240,200,240
2957,240,60,240,60
2958,400,180,400,180
2959,280,180,280,180
2960,200,240,200,240
2961,280,180,280,180
2962,280,240,280,240
2963,280,180,280,180
2964,200,240,200,240
2965,320,180,320,180
2966,280,0,280,0
2967,440,0,440,0
2968,120,270,120,270
2969,240,210,240,210
2970,240,90,240,90
2971,280,90,280,90
2972,200,90,200,90
2973,200,90,200,90
2974,120,180,120,180
2975,240,30,240,30
2976,320,30,320,30
2977,400,30,400,30
2978,320,30,320,30
2979,240,30,240,30
2980,480,30,480,30
2981,240,30,240,30
2982,400,30,400,30
2983,240,30,240,30
2984,360,30,360,30
2985,240,0,240,0
2986,360,0,360,0
2987,280,0,280,0
2988,320,0,320,0
2989,320,0,320,0
2990,280,0,280,0
2991,280,0,280,0
2992,280,0,280,0
2993,320,0,320,0
2994,320,0,320,0
2995,240,0,240,0
2996,120,180,120,180
2997,160,270,160,270
2998,200,210,200,210
2999,400,120,400,120
3000,200,30,200,30
3001,320,30,320,30
3002,320,30,320,30
3003,280,30,280,30
3004,240,120,240,120
3005,360,120,360,120
3006,160,30,160,30
3007,360,120,360,120
3008,240,120,240,120
3009,240,30,240,30
3010,240,30,240,30
3011,240,30,240,30
3012,240,120,240,120
3013,280,30,280,30
3014,200,30,200,30
3015,200,30,200,30
3016,240,30,240,30
3017,200,30,200,30
3018,200,30,200,30
3019,240,30,240,30
3020,240,180,240,180
3021,80,30,80,30
3022,400,30,400,30
3023,360,30,360,30
3024,160,180,160,180
3025,200,180,200,180
3026,200,30,200,30
3027,280,210,280,210
3028,240,120,240,120
3029,320,210,320,210
3030,360,120,360,120
3031,240,30,240,30
3032,280,30,280,30
3033,240,30,240,30
3034,280,30,280,30
3035,240,30,240,30
3036,280,30,280,30
3037,360,120,360,120
3038,240,120,240,120
3039,240,120,240,120
3040,360,30,360,30
3041,240,30,240,30
3042,320,30,320,30
3043,240,120,240,120
3044,200,120,200,120
3045,200,120,200,120
3046,240,30,240,30
3047,280,30,280,30
3048,200,120,200,120
3049,280,120,280,120
3050,240,120,240,120
3051,320,120,320,120
3052,280,30,280,30
3053,280,30,280,30
3054,200,120,200,120
3055,280,30,280,30
3056,240,30,240,30
3057,240,30,240,30
3058,200,30,200,30
3059,320,30,320,30
3060,320,120,320,120
3061,200,30,200,30
3062,280,30,280,30
3063,200,30,200,30
3064,240,30,240,30
3065,360,120,360,120
3066,240,120,240,120
3067,360,30,360,30
3068,320,30,320,30
3069,400,30,400,30
3070,280,30,280,30
3071,440,30,440,30
3072,280,30,280,30
3073,360,30,360,30
3074,280,120,280,120
3075,320,120,320,120
3076,200,90,200,90
3077,280,180,280,180
3078,440,210,440,210
3079,80,30,80,30
3080,280,210,280,210
3081,320,210,320,210
3082,240,30,240,30
3083,200,30,200,30
3084,280,30,280,30
3085,240,120,240,120
3086,200,30,200,30
3087,400,30,400,30
3088,320,120,320,120
3089,240,120,240,120
3090,400,30,400,30
3091,400,30,400,30
3092,200,30,200,30
3093,200,30,200,30
3094,200,30,200,30
3095,360,30,360,30
3096,320,30,320,30
3097,280,30,280,30
3098,280,30,280,30
3099,160,210,160,210
3100,160,210,160,210
3101,160,30,160,30
3102,200,210,200,210
3103,160,210,160,210
3104,160,210,160,210
3105,400,30,400,30
3106,320,30,320,30
3107,240,30,240,30
3108,240,120,240,120
3109,160,30,160,30
3110,240,120,240,120
3111,320,30,320,30
3112,280,30,280,30
3113,240,30,240,30
3114,240,30,240,30
3115,160,120,160,120
3116,160,120,160,120
3117,200,30,200,30
3118,200,120,200,120
3119,240,30,240,30
3120,160,30,160,30
3121,160,30,160,30
3122,160,30,160,30
3123,160,30,160,30
3124,160,30,160,30
3125,160,30,160,30
3126,200,30,200,30
3127,160,30,160,30
3128,160,30,160,30
3129,200,30,200,30
3130,200,30,200,30
3131,160,30,160,30
3132,160,30,160,30
3133,200,30,200,30
3134,160,30,160,30
3135,160,30,160,30
3136,160,30,160,30
3137,240,90,240,90
3138,160,30,160,30
3139,240,180,240,180
3140,240,120,240,120
3141,200,30,200,30
