FID,TARGET_Performance_Level,performance_pred,TARGET_Criticality_Level,criticality_pred,condition_pred,TARGET_Condition_level,TARGET_MITIGATION_Level_PAN,mitigation_pred
15983,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
15980,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
15981,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
8192,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
15347,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
12447,3.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0
8190,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
8191,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
12442,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
8197,5.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0
12518,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
12519,2.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0
1626,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
12514,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
12515,3.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0
12516,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
12517,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
12510,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
12511,2.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0
12512,5.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0
12513,2.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0
7427,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
7426,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
7425,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
7424,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
7423,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
7422,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
7421,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0
7420,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0
6868,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
7429,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
7428,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
15775,5.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0
15774,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
18559,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
15777,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
10857,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
10856,5.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0
10855,5.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0
10854,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
10853,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
10852,5.0,5.0,5.0,3.0,1.0,1.0,4.0,4.0
10851,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
10850,3.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0
6860,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
10859,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0
10858,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
15773,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0
6863,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
19533,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
19532,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0
19531,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
19530,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
19537,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
19536,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0
19535,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0
19534,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0
19539,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
19538,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
2358,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2359,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
2352,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
2353,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0
2350,2.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0
2351,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0
2356,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
2357,5.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0
2354,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0
2355,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1898,5.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0
1899,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0
1894,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
1895,2.0,2.0,4.0,4.0,3.0,3.0,3.0,1.0
1896,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0
1897,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0
1890,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
1891,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0
1892,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
1893,2.0,2.0,5.0,3.0,2.0,2.0,1.0,1.0
11726,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
11727,5.0,5.0,3.0,3.0,1.0,1.0,4.0,4.0
11724,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
